article_url,anchor_text,href,tags
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Skip to main content,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/#main-content,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,,https://www.ncbi.nlm.nih.gov/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Dashboard,https://www.ncbi.nlm.nih.gov/myncbi/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Publications,https://www.ncbi.nlm.nih.gov/myncbi/collections/bibliography/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Account settings,https://www.ncbi.nlm.nih.gov/account/settings/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,,https://pmc.ncbi.nlm.nih.gov/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Journal List,https://pmc.ncbi.nlm.nih.gov/journals/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,User Guide,https://pmc.ncbi.nlm.nih.gov/about/userguide/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/pdf/main.pdf,downloadable_candidate;accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,PMC Disclaimer,https://pmc.ncbi.nlm.nih.gov/about/disclaimer/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,PMC Copyright Notice,https://pmc.ncbi.nlm.nih.gov/about/copyright/,accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Search in PMC,"https://pmc.ncbi.nlm.nih.gov/search/?term=""Cell%20Rep%20Med""[jour]",accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Search in PubMed,"https://pubmed.ncbi.nlm.nih.gov/?term=""Cell%20Rep%20Med""[jour]",accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,View in NLM Catalog,"https://www.ncbi.nlm.nih.gov/nlmcatalog?term=""Cell%20Rep%20Med""[Title%20Abbreviation]",accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Add to search,"https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/?term=""Cell%20Rep%20Med""[jour]",accession_candidate
https://pmc.ncbi.nlm.nih.gov/articles/PMC9906997/,Chrispin Chaguza,"https://pubmed.ncbi.nlm.nih.gov/?term=""Chaguza%20C""[Author]",accession_candidate
